1|High Fidenlity|01-Jan-1995|Nick Hornby|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
2|Northern Lights|01-Jan-1995|Philip Pullman|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
3|Wicked|01-Jan-1995|Gregory Maguire|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
4|A Child Called It|01-Jan-1995|Dave Pelzer|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0
5|Kiss the Girls|01-Jan-1995|James Patterson|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|0
6|Where the Heart Is|01-Jan-1995|Billy Lets|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
7|Blindness|01-Jan-1995|Jose Saramago|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0
8|The Reader|01-Jan-1995|Bernhard Schlink|0|0|0|0|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0
9|The Rainmaker|01-Jan-1995|John Grisham|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
10|Lies My Teacher Told Me|22-Jan-1996|James W. Loewan|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0
